ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
72,72, Museum Kepresidenan Republik Indonesia “Balai Kirti”,jawa barat,Kota Bogor,Jl. Ir. H. Juanda No.1,-6.598296,106.7951098,Museum Khusus,Tipe B,"Kementrian Pendidikan ,Kebudayaan,Riset dan Teknologi",lihat foto,,,400
73,73,Museum Keraton Kacirebonan,jawa barat,Kota Cirebon,Jalan Kasepuhan No. 43,-6.724441206,108.5662572,Museum Khusus,Tipe A,Dinas Kebudayaan dan Pariwisata Kota Cirebon,lihat foto,,,13000
74,74,Museum Konferensi Asia Afrika,jawa barat,Kota Bandung,JL. Asia Afrika No. 65,-6.920257139,107.6115165,Museum Khusus,Tipe A,Direktorat Jenderal Informasi dan Diplomasi Publik Kementerian Luar Negeri Republik Indonesia,lihat foto,,,12000
75,75,Museum Mandala Wangsit Siliwangi,jawa barat,Kota Bandung,"JL.Mayor Lembong No. 38,",-6.917059224,107.6104688,Museum Khusus,Belom Memenuhi Standar,Tentara Nasional Indonesia (TNI) melalui Komando Daerah Militer (Kodam) III/Siliwangi,lihat foto,,,300
76,76,Museum Nasional Sejarah Alam Indonesia,jawa barat,Kota Bogor,Jl.IR.H.Juanda No. 22-24,-6.597969661,106.795723,Museum Khusus,Tipe B,Pusat Penelitian Biologi - LIPI,lihat foto,,,11000
77,77,Museum Negeri Provinsi Jawa Barat Sri Baduga,jawa barat,Kota Bandung,JL. BKR No. 185,-6.93748012,107.6041145,Museum Umum,Tipe A,Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat,lihat foto,,,10000
78,78,Museum Nyamuk Loka Litbang P2B2 Ciamis,jawa barat,Pangandaran,"Jl. Raya Pangandaran Km 3, Desa Babakan",-7.672965339,108.6800649,Museum Khusus,Belom Memenuhi Standar,Dinas Kesehatan Kabupaten Ciamis dan dikelola oleh Unit Pengelola Teknis Museum Nyamuk Litbang P2B2 Ciamis,lihat foto,,,4000
79,79,Museum Palagan Perjuangan 1945 Bojongkokosan,jawa barat,Sukabumi,Jalan Siliwangi No. 75,-6.826018266,106.7598937,Museum Khusus,Tipe B,"kepada Dinas Pariwisata, Kebudayaan, Pemuda, dan Olahraga Kabupaten Sukabumi",lihat foto,,,20000
80,80,Museum Pangeran Cakrabuana,jawa barat,Cirebon,Jalan Sunan Drajat No. 9,-6.762325147,108.4782472,Museum Khusus,Belom di standarisasi,"Dinas Kebudayaan, Pariwisata, Pemuda, dan Olahraga Kabupaten Cirebon.",lihat foto,,,16000
81,81,Museum Pendidikan Nasional Universitas Pendidikan Indonesia (Mupenas),jawa barat,Kota Bandung,Jalan Dr. Setiabudhi No. 229,-6.859737829,107.5947966,Museum Khusus,Tipe A,"Prof. Dr. Leli Yulifar, M.Pd.",lihat foto,,,32000
82,82,Museum Perbendaharaan,jawa barat,Kota Bandung,Jalan Diponegoro No. 59,-6.900516624,107.6237428,Museum Khusus,Belom di standarisasi,Direktorat Jenderal Perbendaharaan,lihat foto,,,800
83,83,Museum Perjuangan Bogor,jawa barat,Kota Bogor,Jalan Merdeka No. 56,-6.592612353,106.7912564,Museum Khusus,Tipe C,Dinas Pariwisata dan Kebudayaan Kota Bogor,lihat foto,,,400
84,84,Museum Pos Indonesia,jawa barat,Kota Bandung,Jl. Cilaki No.73,-6.901294621,107.6230055,Museum Khusus,Belom Memenuhi Standar,PT.Pos Indonesia,lihat foto,,,12000
85,85,Museum Prabu Geusan Ulun,jawa barat,Sumedang,Jl.Prabu Geusan Ulun No. 40,-6.860815689,107.9214685,Museum Khusus,Tipe C,Yayasan Pangeran Sumedang,lihat foto,,,25000
86,86,Museum Pusaka Keraton Kasepuhan,jawa barat,Kota Cirebon,Jalan Kasepuhan No. 43,-6.71191994,108.5665165,Museum Khusus,Tipe A,Keraton Kasepuhan,lihat foto,,,45000
87,87,Museum Rumah Sejarah Kalijati,jawa barat,Subang,"Komplek Garuda E25 Lanud Suryadarma, Jalan Kalijati Barat",-6.523886884,107.661969,Museum Khusus,Tipe,Dinas Pendidikan dan Kebudayaan Kabupaten Subang,lihat foto,,,1200
88,88,Museum Sejarah Sunda Prabu Siliwangi,jawa barat,Sukabumi,Jl. Merbabu Perum Gading Kencana Asri ,-6.906530232,106.9118587,Museum Umum,Tipe C," RH. Erwin Hendarwin, SE., MBA., MM., Ph.D",lihat foto,,,3120
89,89,"Museum Situs Cagar Budaya Batujaya,",jawa barat,Karawang,"Jalan Candi Jiwa, Dusun Sumurjaya, RT.11/RW.04",-6.056526735,107.1583194,Museum Khusus,Tipe A,Dinas Kebudayaan dan Pariwisata Provinsi Jawa Barat,lihat foto,,,6000
90,90,Museum Talaga Manggung,jawa barat,Majalengka,Jl. Talaga Majalengka No. 1,-6.984981155,108.3115134,Museum Khusus,Tipe A,Yayasan Talaga Manggung,lihat foto,,,500
91,91,Museum Taman Purbakala,jawa barat,Kuningan,Jl. Museum Taman Purbakala,-6.962369998,108.4703233,Museum Khusus,Tipe A,Dinas Kebudayaan dan Pariwisata Kabupaten Kuningan,lihat foto,,,400
92,92,Museum Tanah dan Pertanian,jawa barat,Kota Bogor,"Jl. Ir. H. Juanda No. 98,",-6.60349004,106.798726,Museum Khusus,Tioe A,Kementerian Pertanian Republik Indonesia,lihat foto,,,13000
93,93,Museum Universitas Galuh,jawa barat,Ciamis,Jl. R. E. Martadinata No. 150,-7.313932736,108.3563231,Museum Umum,Tipe A,"Program Studi Sejarah, Fakultas Keguruan dan Ilmu Pendidikan",lihat foto,,,12000
94,94,Museum Zoologi Bogor,jawa barat,Kota Bogor,Jl. Ir. H. Juanda No. 9,-6.602718156,106.8000695,Museum Khusus,Tipe A,Badan Riset dan Inovasi Nasional,lihat foto,,,300
95,95,Museum Kereta Api Ambarawa,jawa Tengah,Semarang,"Jl. Stasiun No.1, Panjang Kidul, Panjang",-7.264469123,110.405586,Museum Khusus,Tipe A,KAI Wisata,lihat foto,,,11000
96,96,Monumen Pers Nasional,jawa Tengah,Kota Surakarta,Jl. Gajahmada No.59,-7.564250705,110.8154273,Museum khusus,Tipe B,Kementerian Komunikasi dan Informatika Republik Indonesia,lihat foto,,,10000
97,97,Museum Rekor Dunia Indonesia,jawa Tengah,Kota Semarang,Jl. Perintis Kemerdekaan No.275,-6.959602028,110.7261084,Museum Khusus,Tipe A,MURI – Museum Rekor Dunia Indonesia,lihat foto,,,32000
98,98,Museum Bank Rakyat Indonesia,jawa Tengah,Banyumas,Jl. Jend. Sudirman No.57,-7.423747937,109.2260338,museum khusus,Tipe A,Sekretaris Perusahaan BRI,lihat foto,,,19000
99,99,Museum Batik Pekalongan,jawa Tengah,Pekalongan,Jl. Jetayu No.3,-6.877916984,109.6787811,Museum Khusus,Tipe B,Unit Pelaksana Teknis Daerah (UPTD) Museum Batik,lihat foto,,,22000
100,100,Museum BPK RI,jawa Tengah,Kota Magelang,Jl. Pangeran Diponegoro No.1,-7.473976891,110.2174291,Museum Khusus,Tipe A,Unit Pelaksana Teknis Museum BPK,lihat foto,,,50000
